"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"MEG33",1.44151396047607e-39,1.01942436867036,0.79,0.764,2.88302792095213e-36,"29","MEG3"
"NRN11",1.83801076157893e-39,1.42049674204417,0.728,0.427,3.67602152315785e-36,"29","NRN1"
"ZFHX41",2.62195637973258e-39,0.687558735512855,0.743,0.541,5.24391275946516e-36,"29","ZFHX4"
"RCAN12",4.87184938949669e-39,1.43477958261516,0.768,0.574,9.74369877899337e-36,"29","RCAN1"
"COL5A22",5.89049099686501e-39,0.811828463384721,0.801,0.834,1.178098199373e-35,"29","COL5A2"
"ABI3BP2",2.34296829320973e-37,0.617495413303644,0.772,0.666,4.68593658641946e-34,"29","ABI3BP"
"WARS6",7.11493841866057e-37,0.491813669073165,0.893,0.586,1.42298768373211e-33,"29","WARS"
"MCAM2",1.58537274989457e-36,1.09222477924021,0.743,0.713,3.17074549978914e-33,"29","MCAM"
"MYLK2",3.74028795678841e-36,0.551903962173459,0.871,0.685,7.48057591357681e-33,"29","MYLK"
"CCN23",6.5013516621463e-36,0.525054979592569,0.794,0.701,1.30027033242926e-32,"29","CCN2"
"AMOTL21",9.29567995459307e-36,0.36738746259174,0.827,0.514,1.85913599091861e-32,"29","AMOTL2"
"PHLDB25",2.17709820361142e-35,0.462268638374585,0.857,0.789,4.35419640722284e-32,"29","PHLDB2"
"PGF3",4.3075322211128e-35,0.270363989354938,0.29,0.699,8.61506444222561e-32,"29","PGF"
"ELN4",7.36916743398671e-34,0.252406035760968,0.283,0.668,1.47383348679734e-30,"29","ELN"
"PDLIM46",1.30924620430512e-33,1.31655005651042,0.761,0.766,2.61849240861025e-30,"29","PDLIM4"
"MIA8",2.39451010616664e-33,1.58226799857125,0.798,0.748,4.78902021233329e-30,"29","MIA"
"CADM14",8.15687187020269e-33,1.19286895779861,0.757,0.73,1.63137437404054e-29,"29","CADM1"
"TUBB31",1.3996633939457e-32,0.68177984762326,0.761,0.534,2.79932678789139e-29,"29","TUBB3"
"RBP16",3.8510849280483e-32,1.53289187629213,0.739,0.628,7.70216985609659e-29,"29","RBP1"
